0,"Legislative and senior management occupations","This broad category comprises legislators and senior management occupations.","Membres des corps législatifs et cadres supérieurs/cadres supérieures","Cette grande catégorie comprend les membres de corps législatifs et les cadres supérieurs.",1,,,0
72403,"Railway carmen / women","Railway carmen/women inspect, troubleshoot, maintain and repair structural and mechanical components of railway freight, passenger and urban transit rail cars. They are employed by railway transport companies and urban transit systems. Apprentices are also included in this unit group.","Réparateurs / réparatrices de wagons","Les réparateurs de wagons vérifient, recherchent la cause des pannes, entretiennent et réparent les éléments structurels et mécaniques des wagons de trains de passagers et de marchandises ainsi que des wagons des rames de transport urbain sur rail. Ils travaillent dans des compagnies de transport ferroviaire et dans les services de transport urbain. Ce groupe inclus aussi les apprentis.",5,2,7240,7314
72404,"Aircraft mechanics and aircraft inspectors","Aircraft mechanics maintain, repair, overhaul, modify and test aircraft structural, mechanical and hydraulic systems. Aircraft inspectors inspect aircraft and aircraft systems following manufacture, modification, maintenance, repair or overhaul. Aircraft mechanics and aircraft inspectors are employed by aircraft manufacturing, maintenance, repair and overhaul establishments, and by airlines and other aircraft operators. Apprentices are also included in this unit group.","Mécaniciens / mécaniciennes et contrôleurs / contrôleuses d'aéronefs","Les mécaniciens d'aéronefs entretiennent, réparent, révisent, modifient et testent les systèmes structurels, mécaniques et hydrauliques des aéronefs. Les contrôleurs d'aéronefs vérifient les aéronefs et leurs systèmes à la suite de travaux de fabrication, de modification, d'entretien, de réparation ou de révision. Les mécaniciens et les contrôleurs d'aéronefs travaillent dans des entreprises de fabrication, d'entretien, de réparation ou de révision d'aéronefs, pour des lignes aériennes ou d'autres opérateurs d'aéronefs. Ce groupe inclus aussi les apprentis.",5,2,7240,7315
72405,"Machine fitters","Machine fitters fit, assemble and otherwise build heavy industrial machinery and transportation equipment, including aircraft engines. They are employed in industrial machinery and transportation equipment manufacturing industries.","Ajusteurs / ajusteuses de machines","Les ajusteurs de machines ajustent, assemblent et construisent de la machinerie lourde industrielle et de l'équipement de transport, y compris des moteurs d'aéronefs. Ils travaillent dans l'industrie de fabrication de machinerie industrielle et d'équipement de transport.",5,2,7240,7316
72406,"Elevator constructors and mechanics","Elevator constructors and mechanics assemble, install, maintain and repair freight and passenger elevators, escalators, moving walkways and other related equipment. They are employed by elevator construction and maintenance companies.","Constructeurs / constructrices et mécaniciens / mécaniciennes d'ascenseurs","Les constructeurs et les mécaniciens d'ascenseurs assemblent, installent, entretiennent et réparent des ascenseurs et des monte-charges, des escaliers roulants, des trottoirs roulants et d'autre équipement semblable. Ils travaillent pour des entreprises de construction et d'entretien d'ascenseurs.",5,2,7240,7318
72410,"Automotive service technicians, truck and bus mechanics and mechanical repairers","Automotive service technicians, truck and bus mechanics and mechanical repairers inspect, diagnose, repair and service mechanical, electrical and electronic systems and components of cars, buses, and light and commercial transport trucks. They are employed by motor vehicle dealers, garages, truck and trailer dealerships, fleet maintenance companies, and service stations, automotive specialty shops, transportation companies and retail establishments which have automotive service shops. This unit group also includes mechanical repairers who perform major repairs and replacement of mechanical units on newly assembled motor vehicles. They are employed by motor vehicle manufacturing companies. Apprentices are also included in this unit group.","Mécaniciens / mécaniciennes et réparateurs / réparatrices de véhicules automobiles, de camions et d'autobus","Les mécaniciens et réparateurs de véhicules automobiles, de camions et d'autobus inspectent, établissent un diagnostic pour localiser les défectuosités, réparent et entretiennent les systèmes et éléments mécaniques, électriques et électroniques des véhicules automobiles, des autobus, des camions légers et des camions lourds de transport routier. Ils travaillent pour des concessionnaires d'automobiles, des garages, des représentants de commerce en poids lourds et en remorques, des centres d'entretiens et des stations-service, des garages spécialisés, des sociétés de transport et des commerces ayant des ateliers d'entretien et de réparation d'automobiles. Ce groupe de base comprend aussi les réparateurs de véhicules automobiles qui effectuent les principales réparations et remplacent les pièces des éléments mécaniques de véhicules automobiles nouvellement assemblés. Ils travaillent dans des usines de fabrication de véhicules automobiles. Ce groupe inclus aussi les apprentis.",5,2,7241,7321
72411,"Auto body collision, refinishing and glass technicians and damage repair estimators","Auto body collision, refinishing and glass technicians repair and restore damaged motor vehicle body parts and interior finishing; repaint body surfaces; repair and/or replace automotive glass and repair defective automobile body parts and damage to the bodies of newly assembled cars. Damage repair estimators assess the degree of damage to a vehicle and estimate the cost of parts and labour. They are employed by automobile dealerships, automobile body repair shops, automobile appraisal centres and by motor vehicle manufacturers. This unit group also includes metal repairers. Apprentices are also included in this unit group.","Techniciens / techniciennes en collision, en carrosserie, en peinture et en glace de véhicule automobile et estimateurs / estimatrices de dommages","Les techniciens en collision, en carrosserie, en peinture et en glace de véhicule automobile réparent et remettent en état les parties endommagées des carrosseries et les garnitures intérieures des véhicules automobiles, repeignent les surfaces de carrosserie, réparent ou remplacent les éléments en verre des automobiles et réparent et retouchent les éléments de carrosserie défectueux et endommagés de véhicules nouvellement assemblés. Les estimateurs de dommages évaluent le degré de dommage d'un véhicule et estiment le coût des pièces et de la main-d'oeuvre. Ils travaillent pour des concessionnaires d'automobiles, dans des ateliers de carrosserie, dans des centres d'estimation et dans des usines de fabrication et de montage de véhicules automobiles. Ce groupe de base comprend également les réparateurs de carrosserie. Ce groupe inclus aussi les apprentis.",5,2,7241,7322
72420,"Oil and solid fuel heating mechanics","Oil and solid fuel heating mechanics install and maintain oil, coal and wood heating systems in residential and commercial buildings. They are employed by heating systems installation and service companies. Apprentices are also included in this unit group.","Installateurs / installatrices de brûleurs à l'huile et à combustibles solides","Les installateurs de brûleurs à l'huile et à combustibles solides installent et entretiennent des appareils de chauffage à l'huile, au charbon et au bois dans des bâtiments à usage commercial et résidentiel. Ils travaillent pour des compagnies de service et d'installation de systèmes de chauffage. Ce groupe inclus aussi les apprentis.",5,2,7242,7331
72421,"Appliance servicers and repairers","Appliance servicers and repairers service and repair domestic and commercial appliances. They are employed by repair shops, appliance service companies and repair departments of retail and wholesale establishments, or they may be self-employed. Apprentices are also included in this unit group.","Réparateurs / réparatrices et préposés / préposées à l'entretien d'appareils","Les réparateurs et les préposés à l'entretien d'appareils entretiennent et réparent les appareils domestiques et commerciaux. Ils travaillent dans des ateliers de réparation, des entreprises d'entretien d'appareils, et dans les services de réparation d'entreprises de détail ou de gros. Ils peuvent également être des travailleurs/travailleuses autonomes. Ce groupe inclus aussi les apprentis.",5,2,7242,7332
72422,"Electrical mechanics","Electrical mechanics maintain, test, rebuild and repair electric motors, transformers, switchgear and other electrical apparatus. They are employed by independent electrical repair shops, service shops of electrical equipment manufacturers and maintenance departments of manufacturing companies. Apprentices are also included in this unit group.","Électromécaniciens / électromécaniciennes","Les électromécaniciens entretiennent, mettent à l'essai, remettent à neuf et réparent des moteurs électriques, des transformateurs, de l'appareillage de connexion et d'autres dispositifs électriques. Ils travaillent dans des ateliers indépendants de réparation électrique, des ateliers d'entretien des entreprises de fabrication d'équipement électrique et dans des ateliers de réparation en usine. Ce groupe inclus aussi les apprentis.",5,2,7242,7333
72423,"Motorcycle, all-terrain vehicle and other related mechanics","Motorcycle, all-terrain vehicle and other related mechanics test, repair and service motorcycles, motor scooters, snowmobiles, outboard motors, forklifts and all-terrain vehicles. They are employed by service shops of motorcycle dealers and retailers and by independent service establishments. Apprentices are also included in this unit group.","Mécaniciens / mécaniciennes de motocyclettes, de véhicules tout-terrain et personnel mécanicien assimilé","Les mécaniciens de motocyclettes, de véhicules tout-terrain et le personnel mécanicien assimilé entretiennent, réparent et mettent à l'essai les motocyclettes, les scooters, les motoneiges, les moteurs hors-bord, les chariots élévateurs et les véhicules tout-terrain. Ils travaillent dans des ateliers de réparation de motocyclettes, dans des points de vente au détail et des entreprises indépendantes de réparation. Ce groupe inclus aussi les apprentis.",5,2,7242,"7334,7384,7266,7382,7383"
72429,"Other small engine and small equipment repairers","Other small engine and small equipment repairers test, repair and service small gasoline and diesel-powered engines and equipment, such as garden tractors, lawn mowers and other related equipment. They are employed by dealer service shops and by independent service establishments. Apprentices are also included in this unit group.","Autres réparateurs / réparatrices de petits moteurs et de petits équipements","Les autres réparateurs de petits moteurs et de petits équipements mettent à l'essai, entretiennent et réparent les petits moteurs et les petits équipements à essence ou au diesel, tels que des motoculteurs, des tondeuses à gazon et autres équipements semblables. Ils travaillent dans les ateliers des distributeurs ou dans des entreprises indépendantes de service. Ce groupe inclus aussi les apprentis.",5,2,7242,7335
72500,"Crane operators","Crane operators operate cranes or draglines to lift, move, position or place machinery, equipment and other large objects at construction or industrial sites, ports, railway yards, surface mines and other similar locations. They are employed by construction, industrial, mining, cargo handling and railway companies. Apprentices are also included in this unit group.","Grutiers / grutières","Les grutiers manoeuvrent des grues ou des pelles à benne traînante pour lever, déplacer et à mettre en place de la machinerie, de l'équipement et d'autres gros objets dans des chantiers de construction ou des sites industriels, des ports, des gares ferroviaires de marchandises, des mines de surface et d'autres emplacements semblables. Ils travaillent pour des compagnies industrielles, des compagnies de construction et de manutention de fret, des sociétés minières et des compagnies ferroviaires. Ce groupe inclus aussi les apprentis.",5,2,7250,7371
72501,"Water well drillers","Water well drillers operate a variety of mobile water well drilling rigs and equipment to drill and monitor residential, commercial and industrial water wells. They are employed by water well drilling contractors and governments, or they may be self-employed. Apprentices are also included in this unit group.","Foreurs / foreuses de puits d'eau","Les foreurs de puits d'eau assurent le fonctionnement de divers types d'appareils et d'équipement mobile de forage afin de creuser et de contrôler des puits pour alimenter des résidences, des commerces et des installations industrielles en eau. Ils travaillent pour des entrepreneurs en forage de puits d'eau et le gouvernement ou ils peuvent être des travailleurs/travailleuses autonomes. Ce groupe inclus aussi les apprentis.",5,2,7250,7373
72600,"Air pilots, flight engineers and flying instructors","Air pilots fly fixed wing aircraft and helicopters to provide air transportation and other services such as crop spraying and aerial surveying. Flight engineers assist air pilots with monitoring, troubleshooting and maintenance of aircraft systems and with pre- and post-flight inspections. Flying instructors teach flying techniques and procedures to student and licensed pilots. Air pilots, flight engineers and flight instructors are employed by airline and air freight companies, flying schools and by other public and private sector aircraft operators.","Pilotes, navigateurs / navigatrices et instructeurs / instructrices de pilotage du transport aérien","Les pilotes aériens conduisent des avions à voilure fixe et des hélicoptères pour assurer le transport aérien et d'autres services, tels que la pulvérisation des cultures et les levés aériens. Les mécaniciens de bord aident les pilotes à surveiller, à dépanner et à entretenir les systèmes d'avions, et à mener des vérifications pré-vol et après-vol. Les instructeurs enseignent les techniques de vol aux élèves pilotes et aux pilotes autorisés. Les pilotes, les mécaniciens de bord et les instructeurs de vol travaillent pour des compagnies aériennes ou de fret aérien, des écoles de pilotage et d'autres opérateurs d'aéronefs des secteurs public et privé.",5,2,7260,"2271,8252,8253"
72601,"Air traffic controllers and related occupations","Air traffic controllers direct air traffic within assigned airspace, and control moving aircraft and service vehicles at airports. Flight service specialists provide pilots with flight information essential to aviation safety. Flight dispatchers authorize airline flights over assigned routes. Air traffic controllers and flight service specialists are employed by NAV Canada and the Canadian Forces. Flight dispatchers are employed by airline and air services companies and by the Canadian Forces.","Contrôleurs aériens / contrôleuses aériennes et personnel assimilé","Les contrôleurs aériens dirigent la circulation aérienne dans un espace aérien déterminé et contrôlent le mouvement des avions et des véhicules terrestres sur l'aire de mouvement et de manoeuvre de l'aéroport. Les spécialistes de l'information de vol fournissent aux pilotes les informations de vol nécessaires pour assurer la sécurité du mouvement aérien. Les agents de régulation des vols autorisent les vols des compagnies aériennes sur des routes déterminées. Les contrôleurs aériens et les spécialistes de l'information de vol travaillent pour NAV Canada et les Forces canadiennes. Les agents de régulation des vols travaillent pour des compagnies aériennes, des compagnies de services aéroportuaires et les Forces canadiennes.",5,2,7260,2272
72602,"Deck officers, water transport","Deck officers, water transport, operate and command ships or self-propelled vessels to transport passengers and cargo on oceans and coastal and inland waters, and supervise and coordinate the activities of deck crews. This unit group also includes Canadian Coast Guard deck officers. They are employed by marine transportation companies and federal government departments. Apprentices are also included in this unit group.","Officiers / officières de pont du transport par voies navigables","Les officiers de pont du transport par voies navigables dirigent et commandent des navires ou des bateaux autopropulsés utilisés pour le transport des passagers et des marchandises sur mer, le long des côtes et dans les eaux intérieures, et surveillent et coordonnent les activités des matelots de pont. Ce groupe de base comprend aussi les officiers de pont de la Garde côtière canadienne. Ils travaillent pour des compagnies de transport maritime et des services du gouvernement fédéral. Ce groupe inclus aussi les apprentis.",5,2,7260,2273
72603,"Engineer officers, water transport","Engineer officers in water transport, operate and maintain main engines, machinery and auxiliary equipment aboard ships and other self-propelled vessels, and supervise and coordinate the activities of engine room crews. They are employed by marine transportation companies and federal government departments. Apprentices are also included in this unit group.","Officiers mécaniciens / officières mécaniciennes du transport par voies navigables","Les officiers mécaniciens du transport par voies navigables assurent le fonctionnement et l'entretien des moteurs principaux, des machines et des appareils auxiliaires, surveillent et coordonnent le travail du personnel affecté à la salle des machines, à bord de navires et d'autres bateaux autopropulsés. Ils travaillent dans des entreprises de transport par voies navigables et des services du gouvernement fédéral. Ce groupe inclus aussi les apprentis.",5,2,7260,2274
72604,"Railway traffic controllers and marine traffic regulators","Railway traffic controllers coordinate passenger and freight train traffic on railways. They are employed by rail transport companies. Marine traffic regulators monitor and regulate coastal and inland marine traffic within assigned waterways. They are employed by port, harbour, canal and lock authorities and by the Canadian Coast Guard.","Contrôleurs / contrôleuses de la circulation ferroviaire et régulateurs / régulatrices de la circulation maritime","Les contrôleurs de la circulation ferroviaire coordonnent la circulation des trains de passagers et de marchandises sur les chemins de fer. Ils travaillent pour des sociétés de transport ferroviaire. Les régulateurs de la circulation maritime supervisent et réglementent la circulation maritime dans les voies navigables des eaux côtières et intérieures. Ils travaillent pour des administrations d'installations portuaires, des canaux, des écluses, ainsi que pour la Garde côtière canadienne.",5,2,7260,2275
72999,"Other technical trades and related occupations","Workers in other trades occupations repair, service, install, calibrate or fabricate a variety of products. This unit group also includes commercial divers. They are employed by a wide range of establishments, or they may be self-employed. Apprentices are also included in this unit group.","Autres métiers techniques et personnel assimilé","Les travailleurs d'autres métiers réparent, entretiennent, installent, étalonnent ou fabriquent divers produits. Les scaphandriers sont aussi inclus dans ce groupe de base. Ils travaillent dans une gamme variée d'établissements, ou ils peuvent être des travailleurs autonomes. Ce groupe inclus aussi les apprentis.",5,2,7299,"7384,7266,7382,7383"
73100,"Concrete finishers","Concrete finishers smooth and finish freshly poured concrete, apply curing or surface treatments and install, maintain and restore various masonry structures such as foundations, floors, ceilings, sidewalks, roads, patios and high-rise buildings. They are employed by construction companies, cement and concrete contractors and manufacturers of precast concrete products, or they may be self-employed. Apprentices are also included in this unit group.","Finisseurs / finisseuses de béton","Les finisseurs de béton lissent et finissent le béton fraîchement coulé, appliquent des produits de cure et de traitement de surface, installent, entretiennent et remettent à neuf diverses structures maçonnées, comme des fondations, des planchers, des plafonds, des trottoirs, des routes, des terrasses extérieures et des immeubles de grande hauteur. Ils sont employés par des entrepreneurs en construction, des entrepreneurs cimentiers et des fabricants de produits préfabriqués en béton, ou ils peuvent être des travailleurs/travailleuses autonomes. Ce groupe inclus aussi les apprentis.",5,3,7310,7282
73101,Tilesetters,"Tilesetters cover interior and exterior walls, floors and ceilings with ceramic, marble and quarry tile, mosaics or terrazzo. They are employed by construction companies and masonry contractors, or they may be self-employed. Apprentices are also included in this unit group.","Carreleurs / carreleuses","Les carreleurs couvrent des murs extérieurs et intérieurs, des planchers et des plafonds de carreaux de céramique, de marbre, de grès cérame ou de mosaïque. Ils travaillent pour des entrepreneurs en construction ou en maçonnerie ou ils peuvent être des travailleurs/travailleuses autonomes. Ce groupe inclus aussi les apprentis.",5,3,7310,7283
73102,"Plasterers, drywall installers and finishers and lathers","Plasterers apply finish, and maintain and restore plaster or similar materials, on interior and exterior walls, ceilings and building partitions to produce plain or decorative surfaces. Drywall installers and finishers install and finish drywall sheets and various types of ceiling systems. Lathers install support framework for ceiling systems, interior and exterior walls and building partitions. They are employed by construction companies and by plastering, drywalling and lathing contractors, or they may be self-employed. Apprentices are also included in this unit group.","Plâtriers / plâtrières, poseurs / poseuses et finisseurs / finisseuses de systèmes intérieurs et latteurs / latteuses","Les plâtriers finissent, entretiennent et remettent en état le plâtre ou des matériaux semblables sur des murs intérieurs et extérieurs, des plafonds et des cloisons pour réaliser des surfaces unies ou décoratives. Les poseurs de systèmes intérieurs posent des panneaux de gypse et divers types de systèmes de plafonds. Les latteurs installent des ossatures pour des systèmes de plafonds, des murs intérieurs et extérieurs et des cloisons de bâtiment. Ils travaillent dans des entreprises de construction et pour des entrepreneurs plâtriers poseurs de systèmes intérieurs ou latteurs, ou ils peuvent être des travailleurs/travailleuses autonomes. Ce groupe inclus aussi les apprentis.",5,3,7310,7284
73110,"Roofers and shinglers","Roofers install, repair or replace flat roofs as well as shingles, shakes or other roofing tiles on sloped roofs. Shinglers install and replace shingles, tiles and similar coverings on sloped roofs. They are employed by roofing and general contractors, or they may be self-employed. Apprentices are also included in this unit group.","Couvreurs / couvreuses et poseurs / poseuses de bardeaux","Les couvreurs installent, réparent ou remplacent des toits plats ainsi que des bardeaux, des bardeaux de fente et d'autres tuiles sur des toits en pente. Les poseurs de bardeaux installent et remplacent des bardeaux, des tuiles et des recouvrements similaires sur des toits en pente. Ils travaillent pour des entrepreneurs en toitures, des entrepreneurs en bâtiment ou ils peuvent être des travailleurs/travailleuses autonomes. Ce groupe inclus aussi les apprentis.",5,3,7311,7291
73111,Glaziers,"Glaziers cut, fit, install and replace glass in residential, commercial and industrial buildings, on exterior walls of buildings and other structures and in furniture and other products. They are employed by construction glass installation contractors, retail service and repair shops and glass fabrication shops, or they may be self-employed. Apprentices are also included in this unit group.","Vitriers / vitrières","Les vitriers coupent, ajustent, posent et remplacent les vitres des bâtiments résidentiels, commerciaux et industriels, les parois vitrées de bâtiments et d'autres structures et les vitres de meubles et d'autres produits. Ils travaillent pour des entrepreneurs en installation de produits en verre, dans des ateliers de réparation et d'entretien et dans des ateliers de fabrication de produits en verre, ou ils peuvent être des travailleurs/travailleuses autonomes. Ce groupe inclus aussi les apprentis.",5,3,7311,7292
73112,"Painters and decorators (except interior decorators)","Painters and decorators apply paint, wallpaper and other finishes to interior and exterior surfaces of buildings and other structures. They are employed by construction companies, painting contractors and building maintenance contractors, or they may be self-employed. Apprentices are also included in this unit group.","Peintres et décorateurs / décoratrices (sauf décorateurs / décoratrices d'intérieur)","Les peintres et les décorateurs appliquent de la peinture, du papier peint et d'autres revêtements de finition sur les surfaces intérieures et extérieures des bâtiments et d'autres structures. Ils travaillent pour des compagnies de construction et des entrepreneurs de peinture ou d'entretien de bâtiments, ou ils peuvent être des travailleurs/travailleuses autonomes. Ce groupe inclus aussi les apprentis.",5,3,7311,7294
73113,"Floor covering installers","Floor covering installers install carpet, wood, linoleum, vinyl and other resilient floor coverings in residential, commercial, industrial and institutional buildings. They are employed by construction companies, floor-covering contractors and carpet outlets, or they may be self-employed. Apprentices are also included in this unit group.","Poseurs / poseuses de revêtements d'intérieur","Les poseurs de revêtements d'intérieur installent des moquettes ou des revêtements de sol en bois, en linoléum, en vinyle et autre matériau souple dans des bâtiments résidentiels, commerciaux, industriels et institutionnels. Ils travaillent dans des entreprises de construction, pour des entrepreneurs en revêtement de sol, dans des points de vente de tapis ou ils peuvent être des travailleurs/travailleuses autonomes. Ce groupe inclus aussi les apprentis.",5,3,7311,7295
73200,"Residential and commercial installers and servicers","Residential and commercial installers and servicers install and service a wide variety of interior and exterior prefabricated products such as windows, doors, electrical appliances, water heaters, fences, play structures and septic and irrigation systems at residential, commercial or institutional properties. They are employed by companies specializing in specific product installation and service.","Personnel d'installation, d'entretien et de réparation d'équipement résidentiel et commercial","Les travailleurs d'installation, d'entretien et de réparation d'équipement résidentiel et commercial installent et font l'entretien d'une grande variété de produits préfabriqués pour l'intérieur et l'extérieur, tels que des fenêtres, des portes, des appareils électriques, des chauffe-eau, des clôtures, des structures de jeu, des installations sanitaires et des systèmes d'irrigation dans des propriétés résidentielles, commerciales ou institutionnelles. Ils travaillent dans des entreprises spécialisées dans l'installation et l'entretien de produits particuliers.",5,3,7320,7441
73201,"General building maintenance workers and building superintendents","General building maintenance workers perform tasks related to the general maintenance of buildings. They execute minor repair work, maintain equipment and installations and perform preventive inspection of systems relating to building mechanics. Building superintendents employed in large establishments are responsible for the operation of the establishment and may also supervise other workers. They are employed by office and apartment building management companies, condominium corporations, educational institutions, health care facilities, recreational and shopping facilities, religious, industrial and other establishments.","Préposés à l’entretien général et surintendants / surintendantes","Les préposés à l'entretien général de ce groupe de base effectuent des tâches reliées à l'entretien général des immeubles. Ils exécutent des travaux mineurs de réfection, l'entretien des équipements et des installations et font l'inspection préventive des systèmes relatifs à la mécanique du bâtiment. Les surintendants d'immeubles employés par des grandes organisations sont responsables du fonctionnement des édifices et peuvent également superviser d'autres employés. Ils travaillent pour des sociétés de gestion d'immeubles de bureaux et d'appartements, des sociétés de copropriété, des établissements d'enseignement, des établissements de soins de santé, des établissements de loisirs et de magasinage, des établissements religieux, industriels et autres.",5,3,7320,"6733,6663"
73202,"Pest controllers and fumigators","Pest controllers and fumigators inspect buildings and outside areas for pest infestation and spray chemical treatments to kill noxious and destructive insects, rodents and other pests or set cage traps to capture and remove animals. They are employed by pest control companies, or they may be self-employed.","Fumigateurs / fumigatrices et préposés / préposées au contrôle de la vermine","Les fumigateurs et les préposés au contrôle de la vermine inspectent l'intérieur et l'extérieur des immeubles afin de déceler une infestation de vermine, vaporisent des substances chimiques afin de tuer des insectes, des rongeurs et autres vermines nuisibles et destructrices, ou placent des traquenards afin de capturer et d'enlever les animaux. Ils travaillent pour des compagnies de contrôle de la vermine ou ils peuvent être des travailleurs autonomes.",5,3,7320,7444
73209,"Other repairers and servicers","Other repairers and servicers repair and service a wide variety of products, such as cameras, scales, musical instruments, coin machines, vending machines, sporting goods and other miscellaneous products and equipment. They are employed by product specialty repair shops and service establishments.","Autres réparateurs / réparatrices et préposés / préposées à l'entretien","Les autres réparateurs et les préposés à l'entretien effectuent la réparation et l'entretien de divers produits, tels que des caméras, des bascules, des instruments de musique, des machines distributrices, des distributeurs automatiques, des articles de sport et d'autres produits et équipements semblables. Ils travaillent dans des ateliers spécialisés en réparation et dans des établissements de services.",5,3,7320,7445
73300,"Transport truck drivers","Transport truck drivers drive straight trucks or tractor-trailers to transport freight. Long-haul truck drivers operate heavy trucks over urban, interurban, provincial and international routes, while short-haul and local transport truck drivers operate over urban and short interurban routes. They are employed by transportation, manufacturing, distribution and moving companies, and trucking employment service agencies, or they may be self-employed.","Conducteurs / conductrices de camions de transport","Les conducteurs de camions de transport conduisent des camions porteurs ou des semi-remorques pour le transport de marchandises ou de matériaux. Les conducteurs de camions sur longue distance conduisent des camions lourds sur des routes urbaines, interurbaines, provinciales ou internationales, tandis que les conducteurs routiers et les conducteurs de camions locaux conduisent sur des routes urbaines ou de courtes routes interurbaines. Ils travaillent pour des entreprises de transport, de fabrication, de distribution et de déménagement, et pour des agences de services d'emploi en camionnage. Ils peuvent également être des travailleurs/travailleuses autonomes.",5,3,7330,"7511,7411"
73301,"Bus drivers, subway operators and other transit operators","Bus drivers, subway operators and other transit operators drive buses and operate streetcars, subway trains and light rail transit vehicles to transport passengers on established routes. Bus drivers are employed by urban transit systems, school boards or transportation authorities and private transportation companies. Streetcar, subway and light rail transit operators are employed by urban transit systems.","Conducteurs / conductrices d'autobus et opérateurs / opératrices de métro et autres transports en commun","Les conducteurs d'autobus et les opérateurs de métro et d'autres transports en commun conduisent des autobus, des tramways, des rames de métro et des systèmes légers sur rail pour transporter des passagers selon un itinéraire établi. Les conducteurs d'autobus travaillent pour les réseaux de transport en commun urbain, les commissions scolaires, des sociétés de transports et des entreprises de transport privées. Les conducteurs de tramways et de systèmes légers sur rail et les opérateurs de métro travaillent pour des réseaux de transport en commun urbain.",5,3,7330,"7512,7412"
73310,"Railway and yard locomotive engineers","Railway locomotive engineers operate railway locomotives to transport passengers and freight. They are employed by railway transport companies. Yard locomotive engineers operate locomotives within yards of railway, industrial or other establishments. They are employed by railway transport companies and industrial or commercial users of rail transport.","Mécaniciens / mécaniciennes de locomotive et de cour de triage","Les mécaniciens de locomotive conduisent des locomotives pour assurer le transport de passagers et de marchandises par chemin de fer. Ils travaillent pour des sociétés de transport ferroviaire. Les mécaniciens de cour de triage conduisent des locomotives dans des cours de chemin de fer, dans des établissements industriels ou des endroits analogues. Ils travaillent pour des sociétés de transport ferroviaire et pour des usagers industriels ou commerciaux du transport ferroviaire.",5,3,7331,7361
73311,"Railway conductors and brakemen / women","Railway conductors coordinate and supervise the activities of passenger and freight train crew members. Brakemen check train brakes and other systems and equipment prior to train run, and assist railway conductors in activities en route. They are employed by railway transport companies.","Chefs de train et serre-freins","Les chefs de train coordonnent et supervisent les activités des membres de l'équipage des trains de passagers et de marchandises. Les serre-freins vérifient les freins et autres systèmes et équipement avant le départ du train et aident les chefs de train dans leurs activités en cours de route. Ils travaillent pour des compagnies de transport ferroviaire.",5,3,7331,7362
73400,"Heavy equipment operators","Heavy equipment operators operate heavy equipment used in the construction and maintenance of roads, bridges, airports, gas and oil pipelines, tunnels, buildings and other structures; in surface mining and quarrying activities; and in material handling work. They are employed by construction companies, heavy equipment contractors, public works departments and pipeline, logging, cargo-handling and other companies. Apprentices are also included in this unit group.","Conducteurs / conductrices d'équipement lourd","Les conducteurs d'équipement lourd manoeuvrent des engins de chantier servant à la construction et à l'entretien des routes, ponts, aéroports, gazoducs, oléoducs, tunnels, bâtiments et autres ouvrages, aux travaux d'exploitation de mines à ciel ouvert et de carrières et à des travaux de manutention de matériaux. Ils travaillent dans des entreprises de construction, des services de travaux publics, des compagnies d'exploitation de pipelines, des compagnies forestières, des compagnies de manutention de cargaisons et autres compagnies ainsi que pour des entrepreneurs d'équipement lourd. Ce groupe inclus aussi les apprentis.",5,3,7340,"7521,7421"
73401,"Printing press operators","Printing press operators set up and operate sheet and web-fed presses to print text, illustrations and designs on a wide variety of materials such as paper, plastic, glass, leather and metal. They are employed by commercial printing companies; newspapers, magazines, and other publishing companies; and establishments in the public and private sectors that have in-house printing departments. Apprentices are also included in this unit group.","Opérateurs / opératrices de presses à imprimer","Les opérateurs de presses à imprimer règlent et font fonctionner des presses à bobines et à feuilles pour imprimer des textes, des illustrations et des dessins et sur une variété de matériaux tels que du papier, du plastique, du verre, du cuir et du métal. Ils travaillent dans des imprimeries commerciales, pour des journaux, des revues et d'autres compagnies d'impression, et des établissements des secteurs public et privé qui possèdent leur propre unité d'imprimerie. Ce groupe inclus aussi les apprentis.",5,3,7340,7381
73402,"Drillers and blasters - surface mining, quarrying and construction","Drillers and blasters in surface mining, quarrying and construction operate mobile drilling machines to bore blast holes in open-pit mines and quarries and to bore holes for blasting and for building foundations at construction sites. Blasters in this unit group fill blast holes with explosives and detonate explosives to dislodge coal, ore and rock or to demolish structures. They are employed by mining, quarrying and construction companies and by drilling and blasting contractors.","Foreurs / foreuses et dynamiteurs / dynamiteuses de mines à ciel ouvert, de carrières et de chantiers de construction","Les foreurs et les dynamiteurs de mines à ciel ouvert, de carrières et de chantiers de construction conduisent des foreuses et des perforatrices mobiles servant à forer des trous de dynamitage dans des carrières ou des mines à ciel ouvert ou des trous de dynamitage pour des puits de fondation sur des chantiers de construction. Les dynamiteurs de ce groupe de base chargent des explosifs dans des trous de dynamitage et font exploser des charges pour dégager le charbon, le minerai et les roches ou pour démolir des ouvrages. Ils travaillent pour des entreprises de construction et des entreprises d'exploitation de mines et de carrières, et pour des entrepreneurs en forage et en dynamitage.",5,3,7340,7372
